,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
44658,SKVV,medium_airport,Vanguardia Airport,1394.0,SA,CO,CO-MET,Villavicencio,SKVV,VVC,VVC,"4.16787, -73.6138"
44659,SKYA,small_airport,Yaguara Airport,812.0,SA,CO,CO-CAQ,San Vicente Del Caguán,SKYA,AYG,AYG,"1.54417, -73.9333"
44660,SKYP,medium_airport,El Yopal Airport,1028.0,SA,CO,CO-CAS,El Yopal,SKYP,EYP,EYP,"5.31911, -72.384"
44863,SMH,small_airport,Sapmanga Airport,2912.0,OC,PG,PG-MPL,Sapmanga,AYSP,SMH,SAG,"-6.075277777779999, 146.811111111"
44999,SNAL,small_airport,Arapiraca Airport,886.0,SA,BR,BR-AL,Arapiraca,SNAL,APQ,SNAL,"-9.775360107421875, -36.62919998168945"
45005,SNAR,small_airport,Cirilo Queiróz Airport,640.0,SA,BR,BR-MG,Almenara,SNAR,AMJ,SNAR,"-16.18389, -40.66722"
45011,SNAX,small_airport,Marcelo Pires Halzhausen Airport,1850.0,SA,BR,BR-SP,Assis,SNAX,AIF,SNAX,"-22.64, -50.453056"
45024,SNBL,small_airport,Belmonte Airport,33.0,SA,BR,BR-BA,Belmonte,SNBL,BVM,SNBL,"-15.871700286865234, -38.87189865112305"
45030,SNBR,small_airport,Barreiras Airport,2447.0,SA,BR,BR-BA,Barreiras,SNBR,BRA,SNBR,"-12.078900337219238, -45.00899887084961"
45031,SNBS,small_airport,Balsas Airport,930.0,SA,BR,BR-MA,Balsas,SNBS,BSS,SNBS,"-7.52603006362915, -46.05329895019531"
45033,SNBU,small_airport,Sócrates Mariani Bittencourt Airport,1673.0,SA,BR,BR-BA,Brumado,SNBU,BMS,SNBU,"-14.255399703979492, -41.817501068115234"
45036,SNBX,small_airport,Barra Airport,1345.0,SA,BR,BR-BA,Barra,SNBX,BQQ,SNBX,"-11.08080005645752, -43.147499084472656"
45060,SNCX,small_airport,Colatina Airport,492.0,SA,BR,BR-ES,Colatina,SNCX,QCH,SNCX,"-19.48699951171875, -40.57939910888672"
45064,SNDC,small_airport,Redenção Airport,670.0,SA,BR,BR-PA,Redenção,SNDC,RDC,SNDC,"-8.033289909362793, -49.97990036010742"
45081,SNDV,small_airport,Brigadeiro Cabral Airport,2608.0,SA,BR,BR-MG,Divinópolis,SNDV,DIQ,SNDV,"-20.180700302124, -44.870899200439"
45089,SNED,small_airport,Sócrates Rezende Airport,19.0,SA,BR,BR-BA,Canavieiras,SNED,CNV,SNED,"-15.666999816895, -38.954700469971"
45133,SNFX,small_airport,São Félix do Xingu Airport,656.0,SA,BR,BR-PA,São Félix Do Xingu,SNFX,SXX,SNFX,"-6.6413, -51.9523"
45136,SNGA,small_airport,Guarapari Airport,28.0,SA,BR,BR-ES,Guarapari,SNGA,GUZ,SNGA,"-20.646499633800005, -40.491901397700005"
45144,SNGI,small_airport,Guanambi Airport,1815.0,SA,BR,BR-BA,Guanambi,SNGI,GNM,SNGI,"-14.208200454711914, -42.74610137939453"
45149,SNGN,small_airport,Garanhuns Airport,2533.0,SA,BR,BR-PE,Garanhuns,SNGN,QGP,SNGN,"-8.834280014038086, -36.47159957885742"
45186,SNIC,small_airport,Irecê Airport,2561.0,SA,BR,BR-BA,Irecê,SNIC,IRE,SNIC,"-11.339900016784668, -41.84700012207031"
45190,SNIG,small_airport,Iguatu Airport,699.0,SA,BR,BR-CE,Iguatu,SNIG,QIG,SNIG,"-6.346640110015869, -39.293800354003906"
45198,SNIP,small_airport,Itapetinga Airport,915.0,SA,BR,BR-BA,Itapetinga,SNIP,QIT,SNIP,"-15.244500160217285, -40.277198791503906"
45203,SNIU,small_airport,Ipiaú Airport,492.0,SA,BR,BR-BA,Ipiaú,SNIU,IPU,SNIU,"-14.133889198303223, -39.733890533447266"
45209,SNJB,small_airport,Jacobina Airport,1640.0,SA,BR,BR-BA,Jacobina,SNJB,JCM,SNJB,"-11.163200378417969, -40.5531005859375"
45217,SNJK,small_airport,Jequié Airport,646.0,SA,BR,BR-BA,Jequié,SNJK,JEQ,SNJK,"-13.877699851989746, -40.07160186767578"
45220,SNJN,small_airport,Januária Airport,1575.0,SA,BR,BR-MG,Januária,SNJN,JNA,SNJN,"-15.473799705505371, -44.385501861572266"
45224,SNJR,small_airport,Prefeito Octávio de Almeida Neves Airport,3117.0,SA,BR,BR-MG,São João Del Rei,SNJR,JDR,SNJR,"-21.0849990845, -44.2247238159"
45236,SNKE,small_airport,Santana do Araguaia Airport,597.0,SA,BR,BR-PA,Santana Do Araguaia,SNKE,CMP,SNKE,"-9.31997013092041, -50.32849884033203"
45240,SNKI,small_airport,Cachoeiro do Itapemirim Airport,335.0,SA,BR,BR-ES,Cachoeiro Do Itapemirim,SNKI,CDI,SNKI,"-20.834299087499996, -41.1856002808"
45271,SNLO,small_airport,São Lourenço Airport,2871.0,SA,BR,BR-MG,São Lourenço,SNLO,SSO,SNLO,"-22.090900421142578, -45.044498443603516"
45282,SNMA,small_airport,Monte Alegre Airport,325.0,SA,BR,BR-PA,Monte Alegre,SNMA,MTE,SNMA,"-1.9958000183105469, -54.07419967651367"
45301,SNMU,small_airport,Mucuri Airport,276.0,SA,BR,BR-BA,Mucuri,SNMU,MVS,SNMU,"-18.048900604248047, -39.864200592041016"
45304,SNMX,small_airport,São Mateus Airport,98.0,SA,BR,BR-ES,São Mateus,SNMX,SBJ,SNMX,"-18.72130012512207, -39.83369827270508"
45305,SNMZ,small_airport,Porto de Moz Airport,53.0,SA,BR,BR-PA,Porto De Moz,SNMZ,PTQ,SNMZ,"-1.7414499521255493, -52.23609924316406"
45324,SNNU,small_airport,Nanuque Airport,591.0,SA,BR,BR-MG,Nanuque,SNNU,NNU,SNNU,"-17.823299407958984, -40.329898834228516"
45346,SNOS,small_airport,Municipal José Figueiredo Airport,2697.0,SA,BR,BR-MG,Passos,SNOS,PSW,SNOS,"-20.732200622558594, -46.661800384521484"
45351,SNOX,small_airport,Oriximiná Airport,262.0,SA,BR,BR-PA,Oriximiná,SNOX,ORX,SNOX,"-1.7140799760818481, -55.83620071411133"
45356,SNPC,small_airport,Picos Airport,1050.0,SA,BR,BR-PI,Picos,SNPC,PCS,SNPC,"-7.0620598793029785, -41.52370071411133"
45357,SNPD,small_airport,Patos de Minas Airport,2793.0,SA,BR,BR-MG,Patos De Minas,SNPD,POJ,SNPD,"-18.672800064086914, -46.4911994934082"
45377,SNPX,small_airport,Pirapora Airport,1808.0,SA,BR,BR-MG,Pirapora,SNPX,PIV,SNPX,"-17.3169002532959, -44.86029815673828"
45387,SNQG,small_airport,Cangapara Airport,689.0,SA,BR,BR-PI,Floriano,SNQG,FLB,SNQG,"-6.8463897705078125, -43.077301025390625"
45410,SNRD,small_airport,Prado Airport,66.0,SA,BR,BR-BA,Prado,SNRD,PDF,SNRD,"-17.29669952392578, -39.27119827270508"
45426,SNRU,small_airport,Caruaru Airport,1891.0,SA,BR,BR-PE,Caruaru,SNRU,CAU,SNRU,"-8.282389640808105, -36.01350021362305"
45454,SNSW,small_airport,Soure Airport,43.0,SA,BR,BR-PA,Soure,SNSW,SFK,SNSW,"-0.6994310021400452, -48.520999908447266"
45463,SNTF,small_airport,9 de Maio - Teixeira de Freitas Airport,344.0,SA,BR,BR-BA,Teixeira De Freitas,SNTF,TXF,SNTF,"-17.524499893188, -39.66849899292"
45466,SNTI,small_airport,Óbidos Airport,328.0,SA,BR,BR-PA,Óbidos,SNTI,OBI,SNTI,"-1.867169976234436, -55.514400482177734"
45471,SNTO,small_airport,Juscelino Kubitscheck Airport,1572.0,SA,BR,BR-MG,Teófilo Otoni,SNTO,TFL,SNTO,"-17.89229965209961, -41.51359939575195"
45506,SNVB,small_airport,Valença Airport,21.0,SA,BR,BR-BA,Valença,SNVB,VAL,SNVB,"-13.2965, -38.992401"
45522,SNVS,small_airport,Breves Airport,98.0,SA,BR,BR-PA,Breves,SNVS,BVS,SNVS,"-1.6365300416946411, -50.443599700927734"
45582,SNYE,small_airport,Pinheiro Airport,125.0,SA,BR,BR-MA,Pinheiro,SNYE,PHI,SNYE,"-2.4836111068725586, -45.067222595214844"
45604,SNZA,small_airport,Pouso Alegre Airport,2904.0,SA,BR,BR-MG,Pouso Alegre,SNZA,PPY,SNZA,"-22.289199829101562, -45.91910171508789"
45809,SQT,small_airport,China Strait Airstrip,10.0,OC,PG,PG-MBA,Samarai Island,AYCS,SQT,CHS,"-10.5627777778, 150.690694444"
45855,SSAP,small_airport,Captain João Busse Airport,2641.0,SA,BR,BR-PR,Apucarana,SSAP,APU,SSAP,"-23.609501, -51.384499"
45873,SSBL,small_airport,Blumenau Airport,60.0,SA,BR,BR-SC,Blumenau,SSBL,BNU,SSBL,"-26.83060073852539, -49.090301513671875"
45896,SSCK,small_airport,Concórdia Airport,2461.0,SA,BR,BR-SC,Concórdia,SSCK,CCI,SSCK,"-27.180599212646484, -52.05270004272461"
45899,SSCN,small_airport,Canela Airport,2723.0,SA,BR,BR-RS,Canela,SSCN,QCN,SSCN,"-29.37019920349121, -50.832000732421875"
45901,SSCP,small_airport,Cornélio Procópio Airport,1854.0,SA,BR,BR-PR,Cornélio Procópio,SSCP,CKO,SSCP,"-23.15250015258789, -50.602500915527344"
45925,SSDO,small_airport,Dourados Airport,1503.0,SA,BR,BR-MS,Dourados,SBDO,DOU,SBDO,"-22.2019, -54.926601"
45952,SSER,small_airport,Erechim Airport,2498.0,SA,BR,BR-RS,Erechim,SSER,ERM,SSER,"-27.66189956665039, -52.2682991027832"
45962,SSFB,small_airport,Francisco Beltrão Airport,2100.0,SA,BR,BR-PR,Francisco Beltrão,SSFB,FBE,SSFB,"-26.059200286865234, -53.063499450683594"
46008,SSGY,small_airport,Guaíra Airport,889.0,SA,BR,BR-PR,Guaíra,SSGY,QGA,SSGY,"-24.081100463867188, -54.19169998168945"
46032,SSHZ,small_airport,Walter Bündchen Airport,1063.0,SA,BR,BR-RS,Horizontina,SSHZ,HRZ,SSHZ,"-27.638299942, -54.339099884"
46041,SSIJ,small_airport,Ijuí Airport,1197.0,SA,BR,BR-RS,Ijuí,SSIJ,IJU,SSIJ,"-28.36870002746582, -53.84659957885742"
46055,SSJA,small_airport,Santa Terezinha Airport,2546.0,SA,BR,BR-SC,Joaçaba,SSJA,JCB,SSJA,"-27.1714000702, -51.5532989502"
46092,SSKM,small_airport,Campo Mourão Airport,1854.0,SA,BR,BR-PR,Campo Mourão,SSKM,CBW,SSKM,"-24.009199142499998, -52.3568000793"
46098,SSKS,small_airport,Cachoeira do Sul Airport,253.0,SA,BR,BR-RS,Cachoeira Do Sul,SSKS,QDB,SSKS,"-30.00189971923828, -52.940799713134766"
46118,SSLN,small_airport,Helmuth Baungarten Airport,1095.0,SA,BR,BR-SC,Lontras,SSLN,LOI,SSLN,"-27.159999847399998, -49.5424995422"
46124,SSLT,small_airport,Alegrete Novo Airport,459.0,SA,BR,BR-RS,Alegrete,SSLT,ALQ,SSLT,"-29.812700271599997, -55.8933982849"
46180,SSOE,small_airport,São Miguel do Oeste Airport,2180.0,SA,BR,BR-SC,São Miguel Do Oeste,SSOE,SQX,SSOE,"-26.781600952148438, -53.503501892089844"
46182,SSOG,small_airport,Arapongas Airport,2599.0,SA,BR,BR-PR,Arapongas,SSOG,APX,SSOG,"-23.3529, -51.491699"
46202,SSPB,small_airport,Juvenal Loureiro Cardoso Airport,2697.0,SA,BR,BR-PR,Pato Branco,SBPO,PTO,PR0018,"-26.217184, -52.694463"
46207,SSPG,small_airport,Paranaguá Airport,16.0,SA,BR,BR-PR,Paranaguá,SSPG,PNG,SSPG,"-25.54010009765625, -48.53120040893555"
46208,SSPI,small_airport,Paranavaí Airport,1526.0,SA,BR,BR-PR,Paranavaí,SSPI,PVI,SSPI,"-23.08989906311035, -52.48849868774414"
46213,SSPN,small_airport,Paranaíba Airport,1446.0,SA,BR,BR-MS,Paranaíba,SSPN,PBB,SSPN,"-19.651199340820312, -51.19940185546875"
46274,SSSB,small_airport,São Borja Airport,246.0,SA,BR,BR-RS,São Borja,SSSB,QOJ,SSSB,"-28.65489959716797, -56.03459930419922"
46275,SSSC,small_airport,Santa Cruz do Sul Airport,646.0,SA,BR,BR-RS,Santa Cruz Do Sul,SSSC,CSU,SSSC,"-29.684099197387695, -52.412200927734375"
46322,SSUM,small_airport,Umuarama Airport,1558.0,SA,BR,BR-PR,Umuarama,SSUM,UMU,SSUM,"-23.7987003326416, -53.31380081176758"
46343,SSVI,small_airport,Videira Airport,2756.0,SA,BR,BR-SC,Videira,SSVI,VIA,SSVI,"-26.99970054626465, -51.14189910888672"
46411,SSYA,small_airport,Arapoti Airport,2641.0,SA,BR,BR-PR,Arapoti,SSYA,AAG,SSYA,"-24.1039009094, -49.789100647"
46450,SSZR,small_airport,Santa Rosa Airport,984.0,SA,BR,BR-RS,Santa Rosa,SSZR,SRA,SSZR,"-27.9067, -54.520401"
46455,SSZW,medium_airport,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,2588.0,SA,BR,BR-PR,Ponta Grossa,SBPG,PGZ,SBPG,"-25.1847, -50.1441"
46910,SWBC,small_airport,Barcelos Airport,112.0,SA,BR,BR-AM,Barcelos,SWBC,BAZ,SWBC,"-0.981292, -62.919601"
46922,SWBR,small_airport,Borba Airport,293.0,SA,BR,BR-AM,Borba,SWBR,RBB,SWBR,"-4.4063401222229, -59.60240173339844"
46931,SWCA,small_airport,Carauari Airport,355.0,SA,BR,BR-AM,Carauari,SWCA,CAF,SWCA,"-4.871520042419434, -66.89749908447266"
46946,SWCQ,small_airport,Costa Marques Airport,555.0,SA,BR,BR-RO,Costa Marques,SWCQ,CQS,SWCQ,"-12.421099662780762, -64.25160217285156"
46964,SWDM,small_airport,Diamantino Airport,1476.0,SA,BR,BR-MT,Diamantino,SWDM,DMT,SWDM,"-14.376899719238281, -56.40039825439453"
46976,SWE,small_airport,Siwea Airport,5960.0,OC,PG,PG-MPL,Siwea,AYEW,SWE,SIW,"-6.284639, 147.580833"
46983,SWEI,small_airport,Eirunepé Airport,412.0,SA,BR,BR-AM,Eirunepé,SWEI,ERN,SWEI,"-6.639530181884766, -69.87979888916016"
47021,SWFX,small_airport,São Félix do Araguaia Airport,650.0,SA,BR,BR-MT,São Félix Do Araguaia,SWFX,SXO,SWFX,"-11.632399559020996, -50.68960189819336"
47024,SWG,small_airport,Satwag Airport,4185.0,OC,PG,PG-MPL,Satwag,AYSW,SWG,SWG,"-6.13955555556, 147.279166667"
47031,SWGI,small_airport,Gurupi Airport,1148.0,SA,BR,BR-TO,Gurupi,SWGI,GRP,SWGI,"-11.73960018157959, -49.132198333740234"
47036,SWGN,medium_airport,Araguaína Airport,771.0,SA,BR,BR-TO,Araguaína,SWGN,AUX,SWGN,"-7.22787, -48.240501"
47061,SWHT,small_airport,Humaitá Airport,230.0,SA,BR,BR-AM,Humaitá,SWHT,HUW,SWHT,"-7.532120227810001, -63.072101593"
47070,SWII,small_airport,Ipiranga Airport,131.0,SA,BR,BR-AM,Santo Antônio Do Içá,SWII,IPG,SWII,"-2.939069986343384, -69.69400024414062"
47083,SWIY,small_airport,Santa Izabel do Morro Airport,647.0,SA,BR,BR-TO,Cristalândia,SWIY,IDO,SWIY,"-11.57229995727539, -50.66619873046875"
47105,SWJW,small_airport,Jataí Airport,2529.0,SA,BR,BR-GO,Jataí,SWJW,JTI,SWJW,"-17.8299007416, -51.7729988098"
47111,SWKC,small_airport,Cáceres Airport,492.0,SA,BR,BR-MT,Cáceres,SWKC,CCX,SWKC,"-16.04360008239746, -57.62990188598633"
47119,SWKO,small_airport,Coari Airport,131.0,SA,BR,BR-AM,Coari,SWKO,CIZ,SWKO,"-4.134059906005859, -63.132598876953125"
47123,SWKT,small_airport,Catalão Airport,2612.0,SA,BR,BR-GO,Catalão,SWKT,TLZ,SWKT,"-18.216800689697266, -47.89970016479492"
47130,SWLB,small_airport,Lábrea Airport,190.0,SA,BR,BR-AM,Lábrea,SWLB,LBR,SWLB,"-7.278969764709473, -64.76950073242188"
47131,SWLC,small_airport,General Leite de Castro Airport,2464.0,SA,BR,BR-GO,Rio Verde,SWLC,RVD,SWLC,"-17.8347225189209, -50.956111907958984"
47165,SWMW,small_airport,Maués Airport,69.0,SA,BR,BR-AM,Maués,SWMW,MBZ,SWMW,"-3.37217, -57.7248"
47169,SWNA,small_airport,Novo Aripuanã Airport,118.0,SA,BR,BR-AM,Novo Aripuanã,SWNA,NVP,SWNA,"-5.118030071258545, -60.364898681640625"
47179,SWNK,small_airport,Novo Campo Airport,394.0,SA,BR,BR-AM,Boca do Acre,SWNK,BCR,SWNK,"-8.83456, -67.312401"
47185,SWNQ,small_airport,Niquelândia Airport,2756.0,SA,BR,BR-GO,Niquelândia,SWNQ,NQL,SWNQ,"-14.434900283813477, -48.49150085449219"
47187,SWNS,small_airport,Anápolis Airport,3648.0,SA,BR,BR-GO,Anápolis,SWNS,APS,SWNS,"-16.3623008728, -48.9271011353"
47196,SWOB,small_airport,Fonte Boa Airport,207.0,SA,BR,BR-AM,Fonte Boa,SWOB,FBA,SWOB,"-2.5326099395800004, -66.0831985474"
47225,SWPG,small_airport,Porto dos Gaúchos Airport,1312.0,SA,BR,BR-MT,Porto Dos Gaúchos,SWPG,PBV,SWPG,"-11.5404, -57.3782"
47227,SWPI,small_airport,Parintins Airport,87.0,SA,BR,BR-AM,Parintins,SWPI,PIN,SWPI,"-2.6730198860168457, -56.777198791503906"
47231,SWPM,small_airport,Pimenta Bueno Airport,682.0,SA,BR,BR-RO,Pimenta Bueno,SWPM,PBQ,SWPM,"-11.641599655151367, -61.179100036621094"
47267,SWR,small_airport,Silur Airport,217.0,OC,PG,PG-NIK,Silur Mission,AYZI,SWR,SLR,"-4.5298888888899995, 153.054444444"
47271,SWRD,small_airport,Maestro Marinho Franco Airport,1467.0,SA,BR,BR-MT,Rondonópolis,SBRD,ROO,SBRD,"-16.586, -54.7248"
47282,SWRP,small_airport,Aripuanã Airport,623.0,SA,BR,BR-MT,Aripuanã,SSOU,AIR,SSOU,"-10.188278, -59.457273"
47301,SWSI,small_airport,Presidente João Batista Figueiredo Airport,1227.0,SA,BR,BR-MT,Sinop,SBSI,OPS,MT0002,"-11.885001, -55.586109"
47336,SWTS,small_airport,Tangará da Serra Airport,1460.0,SA,BR,BR-MT,Tangará Da Serra,SWTS,TGQ,SWTS,"-14.661999702500001, -57.4435005188"
47338,SWTU,small_airport,Fazenda Tucunaré Airport,1814.0,SA,BR,BR-MT,Sapezal,SWTU,AZL,SWTU,"-13.4655278136, -58.866934776300006"
47343,SWUA,small_airport,São Miguel do Araguaia Airport,1249.0,SA,BR,BR-GO,São Miguel Do Araguaia,SWUA,SQM,SWUA,"-13.331299781799316, -50.197601318359375"
47367,SWVB,small_airport,Vila Bela da Santíssima Trindade Airport,660.0,SA,BR,BR-MT,Vila Bela Da Santíssima Trindade,SWVB,MTG,SWVB,"-14.9942, -59.9458"
47491,SXH,small_airport,Sehulea Airport,30.0,OC,PG,PG-MBA,Sehulea,AYSL,SXH,SEH,"-9.96452777778, 151.161861111"
47505,SYCJ,medium_airport,Cheddi Jagan International Airport,95.0,SA,GY,GY-DE,Georgetown,SYCJ,GEO,SYGT,"6.498549938201904, -58.25410079956055"
47668,TBE,small_airport,Timbunke Airport,24.0,OC,PG,PG-ESW,Timbunke,AYTV,TBE,TIM,"-4.196633, 143.519222"
47671,TBQ,small_airport,Tarabo Airport,6100.0,OC,PG,PG-EHG,Tarabo,AYTR,TBQ,TRB,"-6.46666666667, 145.532222222"
47673,TCK,small_airport,Tinboli Airport,59.0,OC,PG,PG-ESW,Tinboli,AYYL,TCK,TOI,"-4.0949, 143.3838"
47688,TDB,small_airport,Tetebedi Airport,3365.0,OC,PG,PG-NPP,Tetebedi,AYTF,TDB,TEB,"-9.1586, 148.0686"
47792,TEO,small_airport,Terapo Airport,15.0,OC,PG,PG-GPK,Terapo Mission,AYTY,TEO,TPO,"-8.16972222222, 146.194444444"
47795,TFB,small_airport,Tifalmin Airport,4735.0,OC,PG,PG-SAN,Tifalmin,AYTH,TFB,TFM,"-5.1173, 141.419"
47806,TGL,small_airport,Tagula Airport,59.0,OC,PG,PG-MBA,Sudest Island,AYTG,TGL,TAG,"-11.3311111111, 153.202916667"
47843,TLP,small_airport,Tumolbil Airport,3590.0,OC,PG,PG-SAN,Tumolbil,AYQL,TLP,TUM,"-4.7748, 141.0133"
47860,TN-0002,large_airport,Enfidha - Hammamet International Airport,21.0,AF,TN,TN-51,Enfidha,DTNH,NBE,DTNH,"36.075833, 10.438611"
47994,TR-0025,small_airport,Ordu Giresun Airport,11.0,AS,TR,TR-52,Ordu,LTCB,OGU,OGU,"40.966047, 38.080994"
48607,UAFL,medium_airport,Issyk-Kul International Airport,5425.0,AS,KG,KG-Y,Tamchy,UCFL,IKU,IKU,"42.58792, 76.713046"
48646,UBI,small_airport,Buin Airport,230.0,OC,PG,PG-NSB,Buin,AYUI,UBI,BUIN,"-6.72916666667, 155.683333333"
50655,VA1G,medium_airport,"Rewa Airport, Chorhata, REWA",1000.0,AS,IN,IN-MP,Rewa,VA1G,REW,VA1G,"24.503401, 81.220299"
50663,VA1P,small_airport,Diu Airport,31.0,AS,IN,IN-GJ,Diu,VA1P,DIU,VA1P,"20.71310043334961, 70.92109680175781"
50788,VCCN,small_airport,Katukurunda Air Force Base,10.0,AS,LK,LK-1,Kalutara,VCCN,KTY,VC14,"6.55212020874, 79.9775009155"
51364,VRMG,medium_airport,Gan International Airport,6.0,AS,MV,MV-01,Gan,VRMG,GAN,MV,"-0.693342, 73.155602"
51686,WA44,small_airport,Maranggo Airport,169.0,AS,ID,ID-SG,Waha-Tomea Island,WA44,TQQ,WA44,"-5.7645702362061, 123.91699981689"
51794,WALR,medium_airport,Juwata Airport,23.0,AS,ID,ID-KU,Tarakan Island,WAQQ,TRK,TRK,"3.326667, 117.569444"
51797,WALV,small_airport,Bunyu Airport,118.0,AS,ID,ID-KU,Bunju Island,WALV,BYQ,WA1C,"3.45571994781, 117.866996765"
51854,WART,small_airport,Trunojoyo Airport,10.0,AS,ID,ID-JI,Sumenep-Madura Island,WART,SUP,TRJ,"-7.0242, 113.89023"
51884,WBC,small_airport,Wapolu Airport,45.0,OC,PG,PG-MBA,Wapolu,AYWJ,WBC,WPL,"-9.3376, 150.5093"
51952,WI1A,small_airport,Nusawiru Airport,16.0,AS,ID,ID-JB,Cijulang,WICN,CJN,WI1A,"-7.719895, 108.488995"
52049,WICD,small_airport,Penggung Airport,89.0,AS,ID,ID-JB,Cirebon-Java Island,WICD,CBN,WIIC,"-6.756140232090001, 108.540000916"
52089,WIPI,small_airport,Muara Bungo Airport,214.0,AS,ID,ID-JA,Muara Bungo,WIPI,BUU,MRBMWS,"-1.1278, 102.135"
52250,WNU,small_airport,Wanuma Airport,2260.0,OC,PG,PG-MPM,Wanuma,AYWH,WNU,WUA,"-4.8961, 145.3213"
52368,WSA,small_airport,Wasua Airport,45.0,OC,PG,PG-WPD,Wasua,AYIW,WSA,WAA,"-8.2836, 142.8697"
52392,WTT,small_airport,Wantoat Airport,3900.0,OC,PG,PG-MPL,Wantoat,AYWC,WTT,WNT,"-6.1325, 146.467777778"
52393,WUV,small_airport,Wuvulu Island Airport,16.0,OC,PG,PG-MRL,Wuvulu Island,AYVW,WUV,WUV,"-1.73611111111, 142.836666667"
52652,XBN,small_airport,Biniguni Airport,215.0,OC,PG,PG-NPP,Biniguni,AYBZ,XBN,BNI,"-9.6425, 149.303888889"
53308,YESE,small_airport,Elrose Airport,645.0,OC,AU,AU-QLD,Elrose Mine,YESE,ERQ,YESE,"-20.9764, 141.0066"
53337,YFRV,small_airport,Oombulgurri Airport,22.0,OC,AU,AU-WA,Forrest River Mission,YFRV,FVR,YFRV,"-15.1647, 127.8401"
53386,YGLA,medium_airport,Gladstone Airport,64.0,OC,AU,AU-QLD,Gladstone,YGLA,GLT,4680,"-23.869699, 151.223007"
53465,YHPV,small_airport,Hope Vale Airport,228.0,OC,AU,AU-QLD,Hope Vale,YHPV,HPE,YHPV,"-15.2923, 145.1035"
53599,YKUR,small_airport,Kurundi Airport,1340.0,OC,AU,AU-NT,Kurundi Station,YKUR,KRD,YKUR,"-20.51, 134.6706"
53853,YMUI,small_airport,Murray Island Airport,300.0,OC,AU,AU-QLD,Murray Island,YMAE,MYI,YMUI,"-9.91666984558, 144.054992676"
53904,YNMN,small_airport,New Moon Airport,1099.0,OC,AU,AU-QLD,Basalt,YNMN,NMP,YNMN,"-19.2, 145.773"
53994,YPDA,small_airport,Parndana Airport,545.0,OC,AU,AU-SA,Kangaroo Island,YPDA,PDN,YPDA,"-35.807, 137.264"
54196,YSTI,seaplane_base,Stephens Island Seaplane Base,0.0,OC,AU,AU-QLD,Stephens Island,YSTI,STF,YSTI,"-9.51, 143.55"
54204,YSVP,small_airport,Silver Plains Airport,48.0,OC,AU,AU-QLD,Silver Plains,YSVP,SSP,YSVP,"-13.9754, 143.5537"
54816,ZEN,small_airport,Zenag Airport,3200.0,OC,PG,PG-MPL,Zenag,AYZA,ZEN,ZEN,"-6.9522222222200005, 146.61625"
